size,performance,bm
0,0.07,HDB
1.00000000,-0.00060019,HDB
10.00000000,0.12780043,HDB
100.00000000,0.15269903,HDB
12.58925412,0.13628523,HDB
15.84893192,0.00415371,HDB
19.95262315,0.09390167,HDB
25.11886432,0.08068043,HDB
31.62277660,0.12887905,HDB
39.81071706,0.18537184,HDB
50.11872336,-0.03667876,HDB
63.09573445,0.44067539,HDB
79.43282347,-0.09041576,HDB
1.25892541,0.07270204,HDB
1.58489319,0.02039315,HDB
1.99526231,0.04016521,HDB
2.51188643,0.05970797,HDB
3.16227766,0.02073146,HDB
3.98107171,0.05399297,HDB
5.01187234,0.13702326,HDB
6.30957344,0.07601965,HDB
7.94328235,0.10787812,HDB
0,0.01,HIFB
1.00000000,0.02926394,HIFB
10.00000000,-0.06420414,HIFB
100.00000000,-0.20877947,HIFB
12.58925412,-0.48911625,HIFB
15.84893192,-0.38029229,HIFB
19.95262315,-0.37352561,HIFB
25.11886432,-0.42921983,HIFB
31.62277660,-0.27097572,HIFB
39.81071706,-0.29372851,HIFB
50.11872336,-0.49538206,HIFB
63.09573445,-0.05205141,HIFB
79.43282347,-0.62108166,HIFB
1.25892541,0.05461803,HIFB
1.58489319,-0.04401718,HIFB
1.99526231,-0.06133994,HIFB
2.51188643,-0.11825084,HIFB
3.16227766,-0.03400178,HIFB
3.98107171,-0.15420521,HIFB
5.01187234,-0.16729282,HIFB
6.30957344,-0.19381185,HIFB
7.94328235,0.00299196,HIFB
0,-0.06,HRB
1.00000000,0.06639356,HRB
10.00000000,0.23030646,HRB
100.00000000,0.46098062,HRB
12.58925412,0.21400419,HRB
15.84893192,0.19540781,HRB
19.95262315,0.27605837,HRB
25.11886432,0.26484646,HRB
31.62277660,0.31347108,HRB
39.81071706,0.37616506,HRB
50.11872336,0.29022924,HRB
63.09573445,0.45621548,HRB
79.43282347,0.34107793,HRB
1.25892541,0.03637539,HRB
1.58489319,0.12360458,HRB
1.99526231,0.04591402,HRB
2.51188643,0.05031764,HRB
3.16227766,0.08640858,HRB
3.98107171,0.08845464,HRB
5.01187234,0.17282905,HRB
6.30957344,0.17010376,HRB
7.94328235,0.24784923,HRB
